MRK
AMD
AMAT
MU
ELV
REGN
NU
TGT
FCX
MPC
DHI
TTD
VG
LEN
HUM
STZ
DOW
EL
GFS
DECK
HAL
ON
PHM
BIIB
EIX
BLDR
LDOS
FSLR
ULTA
CSL
DG
ILMN
WST
ALGN
ICLR
MOH
AKAM
BAH
WLK
BF.A
SAIA
TOL
AVTR
MANH
SWKS
FND
SRPT
WMS
BG
GLOB
BLD
ALB
WING
EDU
ONTO
APA
ENPH
EXP
LW
TTEK
PSN
CRL
CACI
BRKR
FLR
CE
MKTX
TREX
DINO
QRVO
AES
MKSI
KBR
INFA
RLI
CHRD
OLED
FCN
ETSY
HII
FRPT
W
MTN
WEX
TX
MARA
ANF
CGNX
GNTX
ELAN
AMKR
SPSC
QXO
MTH
LEA
WFRD
IBP
SAIC
IONS
MOD
CIVI
AMTM
GXO
KBH
BCC
NE
FMC
AVAV
ST
SM
BC
PVH
CNR
M
MUR
ELF
CAMT
OGN
OS
TNET
ACHC
SMG
ASO
XRAY
IGT
RXO
IMVT
APLS
VKTX
TPH
ASGN
FUL
HOG
CRNX
MHO
OLN
REZI
VAL
HAE
ASH
RNG
MCY
TEX
PI
HUN
FORM
OSCR
TDW
SYNA
AEO
IPGP
GRBK
PBF
SAM
CPRI
HP
HCC
MAN
ARWR
CC
PII
ENOV
ATKR
KWR
TRIP
DIOD
ECG
AGYS
FLYW
KLC
TDC
STNG
SIG
CCS
RPD
ARCB
WOR
AMR
CGON
MBC
APGE
SDRL
NEOG
ARDT
DFH
JANX
PACS
AZTA
ICFI
DAVA
MTRN
JAMF
LGIH
ACLS
BTU
FL
SBLK
CRI
DFIN
FIHL
INSW
PLUS
NEO
NABL
IDYA
OI
PRG
SPT
KMT
VERA
TFIN
THS
UPBD
EXPI
UCTT
ROG
CABO
TNC
GO
VRNT
SONO
NHC
LOB
TXG
CLDX
AMPH
IMCR
SPNS
WS
ADNT
DSGR
VVX
DYN
PLAB
VECO
GPCR
SCL
TNK
CSTM
WBTN
HLIO
SYRE
FTRE
CMPR
MYGN
VRTS
VTLE
KSS
WGO
CMRE
ARVN
DAWN
SDHC
RXST
RCUS
FOR
AMWD
EVH
BLBD
ARLO
OXM
DK
XNCR
NVEE
TTGT
RCKT
THRM
NX
APOG
FOXF
ESTA
AMRC
NRDS
SSTK
COHU
LPG
COLL
KFRC
BLMN
PLAY
NSSC
PHVS
GIC
HY
PDFS
PARR
SCSC
BCYC
BXC
MAX
JBSS
CLB
GCT
DLX
OEC
HOV
ULH
TRNS
BZH
GHLD
ECO
REX
AVNS
ASTE
PUBM
JACK
BCAX
MGPI
CSIQ
SCVL
TYRA
MTUS
SHEN
MEG
GES
AMRK
GNK
KOP
ODP
USNA
KIDS
MNRO
SCHL
CMCO
CAL
RAPP
RMR
AMBC
WNC
FLGT
TEN
KELYA
TRDA
LASR
SWBI
URGN
MYE
CLW
GRVY
ASC
SHYF
KROS
NRC
CRMT
MSBI
DIN
JILL
BWMN
ORKA
OFLX
NBR
LOVE
ZIMV
HVT
PKOH
TRML
AEHR
CIX
XOMA
RBB
JOUT
PAMT
MOV
ZUMZ
