NVDA
META
AVGO
WMT
ORCL
NFLX
TMUS
BABA
PLTR
WFC
IBM
PM
MS
GE
ISRG
GS
T
BKNG
SHOP
BSX
FI
GILD
SPOT
SBUX
CRWD
MELI
BN
CEG
IBKR
BAM
MRVL
DASH
FTNT
TEAM
MMM
SE
COF
RCL
WMB
BK
SNOW
JD
KMI
NET
CHTR
HWM
FLUT
DFS
BKR
GLW
TRGP
CBRE
RBLX
HUBS
DAL
GRMN
TTWO
LYV
ETR
UAL
CCL
ALNY
IOT
EQT
FWONA
TKO
IP
BNTX
K
LPLA
TYL
WSM
DKNG
EXPE
AFRM
GDDY
WBD
SYF
FOX
EXE
TOST
NTRA
VIK
NRG
TME
CYBR
PODD
Z
DUOL
NTNX
YUMC
NI
JBL
DT
TPR
FFIV
GWRE
SFM
RL
EQH
AS
AZPN
UTHR
FLEX
AU
MNDY
XPEV
SN
CHWY
DOCS
ROKU
RBRK
TPX
INSM
ITCI
UNM
JLL
YMM
CART
PCOR
PPC
CIEN
KVYO
BROS
WIX
AR
COKE
TLN
PCTY
CHRW
ESTC
PAYC
LBRDA
NCLH
FHN
CFLT
GMED
ULS
GTLB
PEN
GL
DTM
VFC
BRBR
EXEL
WAL
HQY
KD
G
MASI
KNTK
ALK
FRHC
CRS
PNFP
MLI
FYBR
TAL
U
PLNT
WH
GTLS
EXLS
CVLT
SATS
NVMI
WAY
SNV
ONB
CORT
AXS
HALO
BECN
QFIN
MDGL
STEP
R
BYD
UGI
COOP
PJT
RMBS
LTH
CWAN
SLM
SRAD
BBIO
VMI
GPI
AXSM
SKY
LRN
GH
ALKS
MC
BE
GTES
USM
COLB
INTA
VIRT
ACIW
IDCC
FLG
PIPR
CRK
FUTU
RELY
VRNA
KC
URBN
FRSH
SLAB
AROC
TGTX
NARI
KTB
TIGO
KAI
TXNM
FTDR
VCTR
FROG
CVCO
CNO
GSHD
SWTX
GLNG
ATAT
MWA
TDS
ESE
PYCR
CCOI
PTCT
KGS
ICUI
MP
OPRA
ATGE
IFS
AKRO
MIR
RSI
SNEX
AVPT
OSIS
IRTC
RYTM
SRRK
PENN
LIF
CBU
PLMR
ATMU
AMBA
GRND
HEES
PTVE
VCYT
SWI
BFH
EE
WRBY
VNET
BKU
PRVA
INDB
ENVA
TBBK
MGNI
PDCO
CAKE
SOC
VIAV
TTMI
MRCY
ALHC
GCMG
SEMR
CHEF
MRX
YY
MIRM
DAN
BANR
OSW
COCO
LGND
VICR
EFSC
HSAI
CNTA
LMAT
SYBT
NATL
UPWK
PWP
WGS
UNFI
APLD
ATRC
TVTX
EVCM
TGI
GLP
PBI
TARS
SEI
CASH
PRDO
CSGS
GDYN
SSRM
DNOW
NIC
REVG
PHR
KEN
PLYA
PRAX
EH
DESP
ARIS
DXPE
ATEN
WTTR
INOD
CMPO
UTI
AMPL
DAVE
ARQT
KARO
ATSG
ADEA
IMAX
PX
LQDA
DCOM
CCB
CRAI
CRSR
BLFS
DGII
WEAV
AORT
TPB
DAO
IGIC
MD
EVRI
FBMS
LQDT
AMAL
NGVC
PTLO
FNA
REPL
PRLB
PFC
PAHC
ZYME
TMP
ML
MYTE
OCS
ADTN
SNCY
UVSP
PRTH
ATLC
SSYS
XPOF
NBN
CEVA
NTGR
CFB
CPF
AXGN
MLAB
CTLP
OSPN
ADSE
CAC
BYRN
FNKO
HAFC
ITRN
ESQ
MCB
SIBN
MCS
SMBC
OPY
MOFG
HTBI
CSV
GAMB
PGC
SMBK
HIFS
CLMB
CCRN
RDVT
CRD.A
FISI
SENEA
LINC
SHBI
FARO
EBTC
CBNK
NWPX
DCTH
TCBX
CLPT
GRRR
SOHU
CYD
UNTY
LGTY
SMC
NRIM
GCO
BSRR
FBIZ
XYF
TBRG
MTRX
OOMA
CARE
NATH
BMRC
RNGR
APEI
LXFR
TBCH
JAKK
PBPB
USCB
RM
NPCE
IBEX
NUTX
NGS
CIVB
EHTH
PMTS
PDLB
SNFCA
ASUR
CBAN
TSAT
